participant,\sigma_q,\mu_a,\sigma_a,\sigma_d,\alpha,\rho,\sigma_m,\alpha_e
I,0.05,0.9,0.01,0.01,50,0.1,0.05,0.5
V,0.1,0.9,0.1,0.1,10,0.9,NaN,10
S1,0.1591,0.7996,0.69,0.00014,31,0.3297,0.0641,NaN
S2,0.126,0.9488,0.00081,0.0062,22,0.0869,0.0661,NaN
S3,0.0331,0.9308,0.0042,2.8e-05,110000,0.1766,0.0846,NaN
S4,0.1237,0.9561,1.5e-05,0.0091,7.1,0.0208,0.0836,NaN
S5,0.0668,0.9427,1.2e-05,4.7e-05,1800,0.4522,0.0961,NaN
S6,0.0775,0.848,1.6e-05,0.0064,0.0019,0.9999,0.0978,NaN
S7,0.1026,0.8088,0.011,0.001,8.9,0.0016,0.106,NaN
S8,0.0392,0.7857,0.01,0.0059,2.4,0.0152,0.0929,NaN
E1,0.1234,0.8827,0.018,0.0076,120,0.2699,0.0901,NaN
E2,0.1441,0.9121,0.0003,0.0087,380,0.1285,0.0804,NaN
E3,0.1119,0.9466,6e-05,0.0075,230,0.007,0.0781,NaN
E4,0.1172,0.8578,0.012,0.0059,12,0.0477,0.0883,NaN
E5,0.0705,0.946,0.0013,0.0051,10000000,0.3911,0.0715,NaN
E6,0.0559,0.9643,0.003,0.0049,29,0.0044,0.0966,NaN
E7,0.0926,0.9422,1.6e-05,0.0033,3700000,0.0003,0.0936,NaN
E8,0.099,0.8405,0.0023,0.0071,160,0.5336,0.1,NaN
A,0.0089,0.9425,0.0012,0.00082,9,0.2501,0.0182,NaN
M1,0.036,0.6575,0.0011,1e-05,2400,0.0029,0.0865,19
M2,0.0412,0.7274,0.0089,0.013,0.13,0.0062,0.0921,3000
M3,0.0155,0.9473,0.001,0.00079,0.0083,0.0003,0.0979,1800
M4,0.0572,0.6986,0.0048,0.008,28000,0.1732,0.1056,1.3
M5,0.0574,0.842,9.5e-05,0.0005,2200000,0.0352,0.1187,5.9
M6,0.0938,0.7309,0.0011,0.0015,22000,0.0118,0.1153,15
M7,0.0594,0.8744,2.4e-05,0.0023,5200000,0.0007,0.1245,99
M8,0.0708,0.7676,9.6e-05,0.0016,3100000,0.004,0.1206,7
M9,0.0586,0.8751,0.00028,0.0019,1900000,0.0139,0.1206,82
M10,0.0589,0.8949,0.00013,0.00073,340000,0.1347,0.1258,0.24
M11,0.0419,0.9047,1.1e-05,0.00054,71,0.2443,0.1262,0.35
M12,0.0576,0.8587,0.00015,0.0011,4600,0.2205,0.1333,2.3
M13,0.056,0.9164,3.3e-05,0.0014,18,0.102,0.1366,0.97
M14,0.0364,0.8833,6.1e-05,0.0044,490,0.0041,0.141,0.4
M15,0.0543,0.81,0.0044,0.00083,0.0068,0.0508,0.1433,0.0075
M16,0.0546,0.8249,3e-05,0.0011,27000,0.3736,0.1423,0.012
M17,0.0485,0.8534,0.0012,0.00049,140000,0.0019,0.1487,60
M18,0.0586,0.7947,0.0053,0.013,1200,0.0002,0.1542,0.58
M19,0.1233,0.7211,0.00013,0.0044,4100,0.0002,0.161,35
M20,0.021,0.9711,0.00016,0.00086,0.029,0.0004,0.1534,660
M21,0.0976,0.8624,0.00041,0.0084,9600000,0.1154,0.1464,18
M22,0.1091,0.7853,0.00076,0.0039,2100,0.0314,0.1644,1
M23,0.0708,0.8501,0.003,0.0019,150,0.022,0.1905,35
M24,0.0898,0.9185,0.00018,0.003,6.8,0.2249,0.1989,1.5
